name,category,ministry,state_coverage,benefits_summary,description
National Welfare Scheme 1 (MSME),MSME,"Ministry of Micro, Small and Medium Enterprises",Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 2 (Finance),Finance,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 3 (Education),Education,Ministry of Agriculture & Farmers Welfare,Uttar Pradesh,Provides financial grants and support resources for the education sector.,"This scheme aims to empower eligible citizens under the education domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 4 (Finance),Finance,Ministry of Finance,Gujarat,Provides financial grants and support resources for the finance sector.,"This scheme aims to empower eligible citizens under the finance domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 5 (Health),Health,Ministry of Agriculture & Farmers Welfare,Gujarat,Provides financial grants and support resources for the health sector.,"This scheme aims to empower eligible citizens under the health domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 6 (MSME),MSME,Ministry of Health and Family Welfare,Maharashtra,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 7 (Agriculture),Agriculture,Ministry of Health and Family Welfare,Gujarat,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 8 (MSME),MSME,Ministry of Agriculture & Farmers Welfare,Karnataka,Provides financial grants and support resources for the msme sector.,"This scheme aims to empower eligible citizens under the msme domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 9 (Agriculture),Agriculture,Ministry of Education,Uttar Pradesh,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
National Welfare Scheme 10 (Agriculture),Agriculture,Ministry of Education,Maharashtra,Provides financial grants and support resources for the agriculture sector.,"This scheme aims to empower eligible citizens under the agriculture domain by offering structured monetary assistance, skill enhancement programs, and direct developmental benefits."
